                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6416,                 1.2456,                 1.0356,                 1.9598,                 1.5512,                 1.0191,                0.86392,                0.87753,                0.92476,                0.52505,                 1.3739,                0.83311,                0.94421,                 1.4864,                 0.6512,                0.98694,               0.009274,               0.009274,               0.009274
                     25,                 1.6478,                 1.2572,                  1.033,                 1.9891,                 1.5703,                 1.0174,                0.83771,                0.88639,                0.91772,                0.47348,                 1.6674,                0.93969,                 1.0174,                 1.6996,                0.68878,                 1.0461,               0.009241,               0.009241,               0.009241
                     26,                 1.6135,                 1.2281,                 1.0201,                 1.9259,                 1.5408,                 1.0067,                0.86884,                0.85606,                0.89443,                0.56033,                 1.3444,                0.82107,                 0.9255,                 1.3903,                0.61761,                0.95423,               0.009208,               0.009208,               0.009208
                     27,                 1.6214,                 1.2062,                 1.0297,                 1.9542,                 1.5302,                 1.0149,                0.85371,                0.81566,                0.88759,                0.51686,                 1.4432,                 0.8675,                0.95456,                 1.5212,                0.73728,                0.98504,               0.009175,               0.009175,               0.009175
                     28,                 1.6029,                 1.2245,                 1.0177,                  1.929,                 1.5467,                0.99999,                0.82838,                0.90025,                0.93141,                0.56301,                 1.3016,                0.79664,                0.93039,                 1.3804,                0.59178,                0.96191,               0.009142,               0.009142,               0.009142
                     29,                 1.5371,                 1.1747,                 1.0045,                 1.8835,                 1.4989,                0.99443,                 0.8637,                0.88636,                0.92349,                0.56771,                 1.3236,                0.80421,                0.92333,                 1.3756,                0.60532,                0.94539,               0.009109,               0.009109,               0.009109
                     30,                 1.5554,                 1.1912,                 1.0198,                 1.8958,                 1.5284,                 1.0065,                0.86603,                0.87334,                0.92198,                0.56962,                 1.2674,                0.78327,                0.92622,                 1.3424,                0.59823,                0.95101,               0.009076,               0.009076,               0.009076
                     31,                 1.5682,                 1.1684,                 1.0241,                 1.8988,                 1.4543,                 1.0037,                0.86788,                0.89578,                0.93881,                0.54494,                 1.3347,                0.81676,                0.93433,                 1.4536,                0.60792,                0.96335,               0.009043,               0.009043,               0.009043
                     32,                 1.5463,                 1.1496,                  1.009,                 1.8964,                 1.4633,                  0.996,                0.85809,                0.90404,                0.92844,                0.56674,                  1.279,                0.78537,                0.92171,                 1.3763,                0.66092,                0.95109,                0.00901,                0.00901,                0.00901
                     33,                  1.546,                 1.1707,                 1.0036,                 1.8629,                 1.4735,                0.98751,                0.87956,                0.88522,                0.93618,                0.58445,                 1.3063,                0.74465,                0.93625,                 1.3274,                0.55378,                0.95477,               0.008977,               0.008977,               0.008977
                     34,                 1.5241,                 1.1309,                0.99936,                 1.8704,                 1.4438,                 0.9865,                0.86847,                0.88763,                0.91771,                0.59552,                 1.1946,                0.77769,                0.90129,                 1.2336,                0.67393,                0.91738,               0.008944,               0.008944,               0.008944
                     35,                 1.5106,                 1.1439,                0.99866,                 1.8645,                 1.4603,                0.98633,                 0.9014,                0.87121,                0.93325,                0.61935,                 1.1949,                0.74809,                0.90195,                 1.2363,                0.55091,                0.91743,               0.008911,               0.008911,               0.008911
                     36,                  1.504,                 1.1227,                0.99909,                 1.8699,                 1.4822,                0.98392,                0.88135,                0.87228,                0.94346,                0.57365,                 1.3646,                0.77539,                0.93436,                 1.3971,                0.57575,                0.95654,               0.008878,               0.008878,               0.008878
                     37,                 1.4736,                 1.1006,                0.99075,                 1.8295,                 1.4123,                0.98273,                0.86144,                0.91843,                0.94545,                0.56952,                 1.2385,                0.74974,                0.91144,                 1.3479,                0.53818,                 0.9464,               0.008845,               0.008845,               0.008845
                     38,                 1.4978,                 1.1203,                0.99793,                 1.8505,                 1.4419,                0.98148,                0.88076,                0.89773,                0.94294,                0.63829,                 1.2098,                0.72922,                0.90751,                 1.1802,                0.51648,                0.91201,               0.008812,               0.008812,               0.008812
                     39,                 1.4889,                 1.1191,                 1.0017,                 1.8332,                 1.4424,                0.98579,                 0.8605,                0.90025,                0.93847,                0.58432,                 1.2242,                0.73215,                 0.9086,                 1.3255,                0.56986,                0.94172,               0.008779,               0.008779,               0.008779
                     40,                 1.4819,                  1.098,                0.98887,                 1.8302,                  1.425,                0.97389,                0.89203,                0.89716,                0.95127,                0.63206,                 1.1766,                0.72459,                0.90456,                 1.2178,                0.50036,                0.92345,               0.008746,               0.008746,               0.008746
                     41,                 1.4609,                 1.0779,                0.98403,                 1.8038,                 1.3904,                0.96965,                 0.8927,                0.85606,                0.93134,                0.61521,                 1.2273,                0.73694,                0.90644,                 1.2306,                0.59225,                0.91586,               0.008713,               0.008713,               0.008713
